=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.17 17:45:26 =~=~=~=~=~=~=~=~=~=~=~=
249000,0,11264.94,22.37,10666.09,23.57,11308.14,22.28
250000,0,11263.56,22.37,10667.34,23.57,11309.09,22.28
251000,0,11264.17,22.37,10667.86,23.56,11309.89,22.28
252000,0,11264.75,22.37,10668.51,23.56,11310.89,22.28
# Heater is now turned ON
254741,1741,11266.49,22.36,10670.52,23.56,11312.08,22.27
254808,808,11265.63,22.36,10669.63,23.56,11310.25,22.28
255000,0,11265.63,22.36,10670.73,23.56,11312.52,22.27
256457,457,11265.82,22.36,10669.95,23.56,11314.30,22.27
257000,0,11267.26,22.36,10671.04,23.56,11311.89,22.27
258000,0,11268.03,22.36,10671.12,23.56,11313.16,22.27
259000,0,11267.12,22.36,10670.99,23.56,11311.50,22.28
260000,0,11267.40,22.36,10671.17,23.56,11305.84,22.29
261000,0,11266.21,22.36,10671.69,23.56,11295.21,22.31
262000,0,11266.46,22.36,10671.07,23.56,11280.88,22.33
263000,0,11265.38,22.36,10670.60,23.56,11262.95,22.37
264000,0,11262.54,22.37,10669.61,23.56,11240.29,22.41
265000,0,11260.47,22.37,10668.12,23.56,11214.41,22.46
266000,0,11260.30,22.37,10665.46,23.57,11185.31,22.52
267000,0,11255.07,22.39,10662.93,23.57,11154.34,22.58
268000,0,11253.13,22.39,10658.09,23.58,11122.27,22.65
269000,0,11252.83,22.39,10652.46,23.60,11085.89,22.72
270000,0,11250.68,22.39,10645.96,23.61,11044.05,22.80
271000,0,11249.69,22.40,10637.04,23.63,11002.50,22.88
272000,0,11244.65,22.41,10626.93,23.65,10961.55,22.97
273000,0,11242.44,22.41,10616.67,23.67,10919.74,23.05
274000,0,11238.61,22.42,10604.51,23.70,10878.87,23.13
275000,0,11236.14,22.42,10593.17,23.72,10837.50,23.22
276000,0,11223.32,22.45,10580.00,23.75,10797.71,23.30
277000,0,11219.66,22.45,10566.96,23.77,10757.37,23.38
278000,0,11214.58,22.46,10554.88,23.80,10715.79,23.47
279000,0,11212.16,22.47,10541.61,23.83,10674.41,23.55
280000,0,11203.92,22.48,10526.65,23.86,10633.63,23.64
281000,0,11199.84,22.49,10511.34,23.89,10595.42,23.72
282000,0,11194.84,22.50,10497.04,23.92,10554.78,23.80
283000,0,11190.49,22.51,10481.90,23.95,10509.28,23.90
284000,0,11177.04,22.54,10465.04,23.99,10467.26,23.98
285000,0,11169.32,22.55,10448.18,24.02,10428.80,24.07
286000,0,11161.80,22.57,10431.55,24.06,10389.95,24.15
287000,0,11154.04,22.58,10413.78,24.10,10351.25,24.23
288000,0,11145.03,22.60,10396.12,24.14,10314.28,24.31
